hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
闻,聞,Wén,surname Wen,"newest-4, new-2, old-5",v,2427,1,1-char,我每天都闻。,I surname Wen every day.
村,村,cūn,village,"newest-4, new-3",n,2435,1,1-char,这是村。,This is a village.
缺,缺,quē,deficiency; lack; scarce; vacant post; to run short of,"newest-4, new-3",v,2448,1,1-char,我每天都缺。,I deficiency every day.
挖,挖,wā,to dig; to excavate; to scoop out,"newest-6, new-6",v,2449,1,1-char,我每天都挖。,I to dig every day.
剩,剩,shèng,to remain; to be left; to have as remainder,"newest-4, new-5, old-4",v,2453,1,1-char,我每天都剩。,I to remain every day.
百,百,Bǎi,surname Bai,"newest-1, new-1, old-2","m, t",2455,1,1-char,我有三百。,I have three surname Bai.
拼,拼,pīn,to piece together; to join together; to stake all; adventurous; at the risk of one's life; to spell,"newest-5, new-5","v, vn",2461,1,1-char,我每天都拼。,I to piece together every day.
盯,盯,dīng,to watch attentively; to fix one's attention on; to stare at; to gaze at,"newest-7, new-7, old-6",v,2464,1,1-char,我每天都盯。,I to watch attentively every day.
草,艸,cǎo,variant of 草,"newest-3, new-2, old-3",n,2467,1,1-char,这是草。,This is a variant of 草.
湖,湖,hú,lake,"newest-5, new-2","n, b",2468,1,1-char,这是湖。,This is a lake.
兵,兵,bīng,soldiers; a force; an army; weapons; arms; military; warlike,"newest-6, new-4",n,2469,1,1-char,这是兵。,This is a soldiers.
院,院,yuàn,courtyard; institution,new-2,"n, g",2470,1,1-char,这是院。,This is a courtyard.
甜,甜,tián,sweet,"newest-3, new-3, old-3",a,2472,1,1-char,这个很甜。,This is very sweet.
硬,硬,yìng,hard; stiff; solid; (fig.) strong; firm; resolutely; uncompromisingly; laboriously; with great difficulty; good (quality); able (person); (of food) filling; substantial,"newest-5, new-5, old-4","a, d",2476,1,1-char,这个很硬。,This is very hard; stiff; solid.
侧,側,cè,the side; to incline towards; to lean; inclined; lateral; side,"newest-6, new-6","v, g, f, q",2493,1,1-char,我每天都侧。,I the side every day.
妹,妹,mèi,younger sister,new-1,n,2496,1,1-char,这是妹。,This is a younger sister.
闭,閉,bì,to close; to stop up; to shut; to obstruct,"newest-6, new-6",v,2503,1,1-char,我每天都闭。,I to close every day.
牙,牙,yá,tooth; ivory,"newest-3, new-4",n,2506,1,1-char,这是牙。,This is a tooth.
粉,粉,fěn,powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; to turn to powder; (dialect) to whitewash; white; pink; (suffix) fan (abbr. for 粉丝); to be a fan of,"newest-6, new-7","n, g, b, a",2506,1,1-char,这是粉。,This is a powder.
足,足,jù,excessive,"newest-6, new-6","a, d, g",2507,1,1-char,这个很足。,This is very excessive.
曲,曲,Qū,surname Qu,"newest-6, new-7","g, n, q, v",2509,1,1-char,我在学习“曲”。,I'm learning '曲'.
唉,唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh","newest-5, new-7, old-5",e,2512,1,1-char,我在学习“唉”。,I'm learning '唉'.
设,設,shè,to set up; to put in place; (math.) given; suppose; if,"newest-7, new-7",v,2512,1,1-char,我每天都设。,I to set up; to put in place every day.
公,公,gōng,"public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 位; honorable (gentlemen); father-in-law; male (animal)","newest-6, new-6","g, b",2520,1,1-char,我在学习“公”。,I'm learning '公'.
弹,彈,dàn,crossball; bullet; shot; shell; ball,"newest-4, new-5, old-4","v, g, vn",2520,1,1-char,我每天都弹。,I crossball every day.
必,必,bì,certainly; must; will; necessarily,"newest-5, new-5",d,2532,1,1-char,他必来。,He comes certainly.
托,托,tuō,prop; support (for weight); rest (e.g. arm rest); thanks to; to hold in one's hand; to support in one's palm; to give; to base; to commit; to set; torr (unit of pressure),"newest-7, new-6","v, g",2533,1,1-char,我每天都托。,I prop every day.
拨,撥,bō,"to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch","newest-7, new-7","v, q",2539,1,1-char,我每天都拨。,"I to push aside with the hand, foot, a stick etc every day."
艘,艘,sōu,classifier for ships; Taiwan pr. [sāo],"newest-6, new-7, old-6",q,2548,1,1-char,我在学习“艘”。,I'm learning '艘'.
古,古,Gǔ,surname Gu,"newest-5, new-3","a, tg",2558,1,1-char,这个很古。,This is very surname Gu.
杆,杆,gān,pole,"newest-7, new-6","g, q",2562,1,1-char,我在学习“杆”。,I'm learning '杆'.
咬,咬,yǎo,to bite; to nip,"newest-5, new-5, old-5",v,2563,1,1-char,我每天都咬。,I to bite every day.
银,銀,yín,silver; silver-colored; relating to money or currency,"newest-6, new-3, old-5","b, g, n",2564,1,1-char,我在学习“银”。,I'm learning '银'.
刺,刺,cī,(onom.) whoosh,"newest-6, new-4, old-6","v, n",2566,1,1-char,我每天都刺。,I whoosh every day.
羊,羊,Yáng,surname Yang,"newest-3, new-3",n,2574,1,1-char,这是羊。,This is a surname Yang.
肥,肥,féi,fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure,"newest-6, new-4","n, a, v",2580,1,1-char,这是肥。,This is a fat.
患,患,huàn,to suffer (from illness); to contract (a disease); misfortune; trouble; danger; worry,"newest-6, new-7","v, g",2581,1,1-char,我每天都患。,I to suffer every day.
湿,溼,shī,variant of 湿,"newest-5, new-4","a, v",2585,1,1-char,这个很湿。,This is very variant of 湿.
枚,枚,Méi,surname Mei,"newest-7, new-7, old-6",q,2591,1,1-char,我在学习“枚”。,I'm learning '枚'.
暗,晻,àn,variant of 暗,"newest-5, new-4, old-4","a, ad",2594,1,1-char,这个很暗。,This is very variant of 暗.
诗,詩,Shī,"abbr. for Shijing 诗经, the Book of Songs","newest-5, new-4, old-5",n,2594,1,1-char,这是诗。,"This is an abbr. for Shijing 诗经, the Book of Songs."
瘦,瘦,shòu,thin; to lose weight; (of clothing) tight; (of meat) lean; (of land) unproductive,"newest-3, new-5, old-3",a,2595,1,1-char,这个很瘦。,This is very thin.
绝,絕,jué,to cut short; extinct; to disappear; to vanish; absolutely; by no means,"newest-7, new-6","d, g",2597,1,1-char,他绝来。,He comes to cut short.
勒,勒,lè,"to rein in; to compel; to force; to carve; to engrave; (literary) to command; to lead; bridle; (physics) abbr. for 斯, lux","newest-7, new-7",v,2605,1,1-char,我每天都勒。,I to rein in every day.
锁,鎖,suǒ,to lock; to lock up; a lock,"newest-5, new-5, old-5","v, n",2607,1,1-char,我每天都锁。,I to lock; to lock up every day.
绿,綠,lǜ,green; (slang) (derived from 绿帽子) to cheat on (one's spouse or boyfriend or girlfriend),"new-2, old-3","a, an",2608,1,1-char,这个很绿。,This is very green.
造,造,zào,to make; to build; to manufacture; to invent; to fabricate; to go to; party (in a lawsuit or legal agreement); crop; classifier for crops,"newest-5, new-3",v,2608,1,1-char,我每天都造。,I to make every day.
害,害,hài,to do harm to; to cause trouble to; harm; evil; calamity,"newest-6, new-5","v, n, g",2616,1,1-char,我每天都害。,I to do harm to every day.
素,素,sù,"raw silk; white; plain, unadorned; vegetarian (food); essence; nature; element; constituent; usually; always; ever","newest-7, new-7","g, n, a",2618,1,1-char,我在学习“素”。,I'm learning '素'.
立,立,Lì,surname Li,"newest-6, new-5",v,2622,1,1-char,我每天都立。,I surname Li every day.
骂,罵,mà,to scold; to abuse; to curse,"newest-5, new-5, old-5",v,2622,1,1-char,我每天都骂。,I to scold every day.
料,料,liào,material; stuff; grain; feed; to expect; to anticipate; to guess,"newest-6, new-6","n, v",2626,1,1-char,这是料。,This is a material.
稍,稍,shāo,somewhat; a little,"newest-4, new-5",d,2631,1,1-char,他稍来。,He comes somewhat.
守,守,shǒu,to guard; to defend; to keep watch; to abide by the law; to observe (rules or ritual); nearby; adjoining,"newest-5, new-4",v,2638,1,1-char,我每天都守。,I to guard every day.
滑,滑,Huá,surname Hua,"newest-5, new-5","v, a",2639,1,1-char,我每天都滑。,I surname Hua every day.
撒,撒,sā,to let go; to cast; to let loose; to discharge; to give expression to; (coll.) to pee,"newest-6, new-7",v,2662,1,1-char,我每天都撒。,I to let go every day.
嗨,嗨,hāi,oh alas; hey!; hi! (loanword); a high (natural or drug-induced) (loanword),old-6,e,2664,1,1-char,我在学习“嗨”。,I'm learning '嗨'.
获,獲,huò,(literary) to catch; to capture; (literary) to get; to obtain; to win,new-4,v,2683,1,1-char,我每天都获。,I to catch; to capture every day.
题,題,Tí,surname Ti,"newest-2, new-2, old-2","n, v",2690,1,1-char,这是题。,This is a surname Ti.
露,露,Lù,surname Lu,"newest-6, new-6, old-5","v, g",2700,1,1-char,我每天都露。,I surname Lu every day.
忍,忍,rěn,to bear; to endure; to tolerate; to restrain oneself,"newest-5, new-5",v,2712,1,1-char,我每天都忍。,I to bear every day.
环,環,Huán,surname Huan,"newest-6, new-3","n, v, q",2712,1,1-char,这是环。,This is a surname Huan.
摸,摸,mō,to feel with the hand; to touch; to stroke; to grope; to steal; to abstract,"newest-5, new-4, old-5",v,2716,1,1-char,我每天都摸。,I to feel with the hand every day.
嘿,嘿,hēi,hey,"newest-6, new-7, old-6",e,2729,1,1-char,我在学习“嘿”。,I'm learning '嘿'.
哼,哼,hēng,to groan; to snort; to hum; to croon; humph!,"newest-7, new-7, old-6","e, v",2732,1,1-char,我在学习“哼”。,I'm learning '哼'.
库,庫,kù,warehouse; storehouse; (file) library,"newest-5, new-5",n,2737,1,1-char,这是库。,This is a warehouse.
吵,吵,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise,"newest-5, new-3, old-4",v,2738,1,1-char,我每天都吵。,I to quarrel every day.
答,答,dā,"bound form having the same meaning as the free word 答, used in 答应, 理 etc","newest-4, new-5",v,2744,1,1-char,我每天都答。,"I bound form having the same meaning as the free word 答, used in 答应, 理 etc every day."
形,形,xíng,to appear; to look; form; shape,new-6,g,2745,1,1-char,我在学习“形”。,I'm learning '形'.
熊,熊,Xióng,surname Xiong,"newest-4, new-5","n, nr",2749,1,1-char,这是熊。,This is a surname Xiong.
奶,奶,nǎi,breast; milk; to breastfeed,new-1,"n, v",2758,1,1-char,这是奶。,This is a breast.
齐,齊,Qí,(name of states and dynasties at several different periods); surname Qi,"newest-5, new-3","a, d, v, nr, tg, b",2763,1,1-char,这个很齐。,This is very good.
松,松,Sōng,surname Song,"newest-6, new-4","v, a, g",2768,1,1-char,我每天都松。,I surname Song every day.
剂,劑,jì,dose (medicine),"newest-7, new-7","q, g",2773,1,1-char,我在学习“剂”。,I'm learning '剂'.
埋,埋,mái,to bury,"newest-6, new-6",v,2776,1,1-char,我每天都埋。,I to bury every day.
青,青,Qīng,"abbr. for 海, Qinghai Province","newest-5, new-5, old-5","a, b",2780,1,1-char,这个很青。,"This is very abbr. for 海, Qinghai Province."
顺,順,shùn,to obey; to follow; to arrange; to make reasonable; along; favorable,"newest-5, new-6","v, a",2780,1,1-char,我每天都顺。,I to obey every day.
登,登,dēng,to scale (a height); to ascend; to mount; to publish or record; to enter (e.g. in a register); to press down with the foot; to step or tread on; to put on (shoes or trousers) (dialect); to be gathered and taken to the threshing ground (old),"newest-5, new-4",v,2782,1,1-char,我每天都登。,I to scale every day.
率,率,lǜ,rate; frequency,"newest-6, new-7","v, k",2786,1,1-char,我每天都率。,I rate every day.
辣,辢,là,old variant of 辣,"newest-4, new-4, old-4","a, an, v",2791,1,1-char,这个很辣。,This is very old variant of 辣.
野,埜,yě,old variant of 野,"newest-6, new-6","b, a, g, ad, an",2794,1,1-char,我在学习“野”。,I'm learning '野'.
吻,吻,wěn,kiss; to kiss; mouth,"newest-7, new-7, old-5",v,2797,1,1-char,我每天都吻。,I kiss every day.
围,圍,Wéi,surname Wei,"newest-5, new-3",v,2818,1,1-char,我每天都围。,I surname Wei every day.
煮,煑,zhǔ,variant of 煮,"newest-5, new-6, old-5",v,2829,1,1-char,我每天都煮。,I variant of 煮 every day.
碰,掽,pèng,variant of 碰,"newest-5, new-2",v,2829,1,1-char,我每天都碰。,I variant of 碰 every day.
业,業,Yè,surname Ye,"newest-6, new-7","g, k",2831,1,1-char,我在学习“业”。,I'm learning '业'.
码,碼,mǎ,"weight; number; code; to pile; to stack; classifier for length or distance (yard), happenings etc","newest-7, new-7","q, v",2833,1,1-char,我在学习“码”。,I'm learning '码'.
遇,遇,Yù,surname Yu,new-4,v,2834,1,1-char,我每天都遇。,I surname Yu every day.
较,較,jiào,to compare; to dispute; compared to; (before adj.) relatively; comparatively; rather; also pr. [jiǎo],"newest-5, new-3","d, p",2836,1,1-char,他较来。,He comes to compare.
寄,寄,jì,to send; to mail; to entrust; to depend on; to attach oneself to; to live (in a house); to lodge; foster (son etc),"newest-4, new-4, old-4",v,2842,1,1-char,我每天都寄。,I to send every day.
福,福,Fú,surname Fu; abbr. for Fujian province 省,"newest-5, new-3",n,2845,1,1-char,这是福。,This is a surname Fu.
餐,餐,cān,meal; to eat; classifier for meals,new-6,"g, qv",2848,1,1-char,我在学习“餐”。,I'm learning '餐'.
补,補,bǔ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement,"newest-6, new-3",v,2850,1,1-char,我每天都补。,I to repair every day.
族,族,zú,"race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族)","newest-5, new-6","g, q",2852,1,1-char,我在学习“族”。,I'm learning '族'.
碗,㼝,wǎn,variant of 碗,"newest-3, new-2, old-3","n, q",2866,1,1-char,这是碗。,This is a variant of 碗.
旁,旁,páng,"one side; other; different; lateral component of a Chinese character (such as 刂, 亻 etc)",new-5,"f, g",2873,1,1-char,我在学习“旁”。,I'm learning '旁'.
插,插,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose,"newest-5, new-5, old-5",v,2875,1,1-char,我每天都插。,I to insert every day.
惊,驚,jīng,to startle; to be frightened; to be scared; alarm,new-7,"v, vn",2877,1,1-char,我每天都惊。,I to startle every day.
引,引,yǐn,"to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈, one-thirtieth of a km or 33.33 meters","newest-6, new-4",v,2892,1,1-char,我每天都引。,I to draw every day.
降,降,jiàng,to drop; to fall; to come down; to descend,"newest-4, new-4",v,2897,1,1-char,我每天都降。,I to drop every day.
圆,圓,yuán,circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (yuan); tactful; to make consistent and whole (the narrative of a dream or a lie),"newest-5, new-4, old-4","g, a, n, v",2899,1,1-char,我在学习“圆”。,I'm learning '圆'.
尿,尿,niào,to urinate; urine,"newest-7, new-7","n, v",2899,1,1-char,这是尿。,This is a to urinate.
护,護,hù,to protect,"newest-7, new-6",v,2909,1,1-char,我每天都护。,I to protect every day.
臭,臭,chòu,stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition),"newest-5, new-5, old-5","a, g",2909,1,1-char,这个很臭。,This is very stench.
闪,閃,Shǎn,surname Shan,"newest-6, new-4",v,2909,1,1-char,我每天都闪。,I surname Shan every day.
袋,袋,dài,pouch; bag; sack; pocket,new-4,"g, q, n",2912,1,1-char,我在学习“袋”。,I'm learning '袋'.
灰,灰,huī,ash; dust; lime; gray; discouraged; dejected,"newest-5, new-7, old-5","g, n, a",2914,1,1-char,我在学习“灰”。,I'm learning '灰'.
堆,堆,duī,to pile up; to heap up; a mass; pile; heap; stack; large amount,"newest-5, new-5, old-5","q, v, k, n",2915,1,1-char,我在学习“堆”。,I'm learning '堆'.
品,品,pǐn,(bound form) article; commodity; product; goods; (bound form) grade; rank; kind; type; variety; character; disposition; nature; temperament; to taste sth; to sample; to criticize; to comment; to judge; to size up; fret (on a guitar or lute),"newest-5, new-5","g, v",2922,1,1-char,我在学习“品”。,I'm learning '品'.
计,計,Jì,surname Ji,"newest-7, new-7","v, g",2925,1,1-char,我每天都计。,I surname Ji every day.
精,精,jīng,essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic),"newest-7, new-6","a, ad, g",2931,1,1-char,这个很精。,This is very essence.
毁,毀,huǐ,to destroy; to ruin; to defame; to slander,"newest-7, new-6",v,2932,1,1-char,我每天都毁。,I to destroy; to ruin every day.
斗,斗,Dǒu,abbr. for the Big Dipper constellation 星,"newest-7, new-7","v, n, q",2960,1,1-char,我每天都斗。,I abbr. for the Big Dipper constellation 星 every day.
盒,盒,hé,small box; case,new-5,"g, q",2963,1,1-char,我在学习“盒”。,I'm learning '盒'.
散,㪚,sàn,variant of 散,"newest-6, new-4","v, a, ad",2965,1,1-char,我每天都散。,I variant of 散 every day.
弱,弱,ruò,weak; feeble; young; inferior; not as good as; (following a decimal or fraction) slightly less than,"newest-5, new-4, old-5",a,2968,1,1-char,这个很弱。,This is very weak; feeble.
产,產,chǎn,to give birth; to reproduce; to produce; product; resource; estate; property,"newest-5, new-7","v, g",2970,1,1-char,我每天都产。,I to give birth every day.
乘,乘,Chéng,surname Cheng,"newest-4, new-5, old-5","v, p",2982,1,1-char,我每天都乘。,I surname Cheng every day.
晕,暈,yūn,confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out,"newest-6, new-6, old-5",v,2983,1,1-char,我每天都晕。,I confused every day.
甲,甲,jiǎ,"first of the ten Heavenly Stems 干; (used for an unspecified person or thing); first (in a list, as a party to a contract etc); letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc; armor plating; shell or carapace; (of the fingers or toes) nail; bladed leather or metal armor (old); ranking system used in the Imperial examinations (old); civil administration unit in the baojia 甲 system (old); ancient Chinese compass point: 75°","newest-5, new-5, old-5","n, Mg, m",2984,1,1-char,这是甲。,This is a first of the ten Heavenly Stems 干.
争,爭,zhēng,to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary),"newest-5, new-3","v, g, vn",2989,1,1-char,我每天都争。,I to strive for every day.
针,針,zhēn,needle; pin; injection; stitch,"newest-6, new-4","n, q",2990,1,1-char,这是针。,This is a needle.
订,訂,dìng,to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order,"newest-4, new-3",v,2991,1,1-char,我每天都订。,I to agree every day.
赌,賭,dǔ,to bet; to gamble,"newest-7, new-6",v,2992,1,1-char,我每天都赌。,I to bet every day.
划,划,huá,to row; to paddle; profitable; worth (the effort); it pays (to do sth),"newest-5, new-4",v,2993,1,1-char,我每天都划。,I to row every day.
蒙,濛,méng,drizzle; mist,"newest-7, new-6, old-6","v, b",2993,1,1-char,我每天都蒙。,I drizzle every day.
移,移,yí,to move; to shift; to change; to alter; to remove,"newest-5, new-4",v,3002,1,1-char,我每天都移。,I to move every day.
测,測,cè,to survey; to measure; to conjecture,"newest-5, new-4",v,3003,1,1-char,我每天都测。,I to survey every day.
剪,剪,Jiǎn,surname Jian,"newest-5, new-5","v, g, vn",3012,1,1-char,我每天都剪。,I surname Jian every day.
富,富,Fù,surname Fu,"newest-5, new-3, old-4","g, a",3016,1,1-char,我在学习“富”。,I'm learning '富'.
止,止,zhǐ,to stop; to prohibit; until; only,"newest-5, new-6",v,3025,1,1-char,我每天都止。,I to stop every day.
界,界,jiè,(bound form) boundary; border; (bound form) realm,"newest-7, new-6","n, k",3027,1,1-char,这是界。,This is a boundary; border.
挤,擠,jǐ,to crowd in; to cram in; to force others aside; to press; to squeeze; to find (time in one's busy schedule),"newest-5, new-5",v,3042,1,1-char,我每天都挤。,I to crowd in every day.
瞧,瞧,qiáo,to look at; to see; to see (a doctor); to visit,"newest-6, new-5, old-5",v,3046,1,1-char,我每天都瞧。,I to look at every day.
熟,熟,shú,ripe; mature; thoroughly cooked; done; familiar; acquainted; experienced; skilled; (of sleep etc) deep; profound; also pr. [shóu],"newest-4, new-2","a, ad",3050,1,1-char,这个很熟。,This is very ripe; mature.
偏,偏,piān,to lean; to slant; oblique; prejudiced; to deviate from average; to stray from the intended line; stubbornly; contrary to expectations,"newest-7, new-6","d, a, v",3051,1,1-char,他偏来。,He comes to lean.
刷,刷,shuā,to brush; to paint; to daub; to paste up; to skip class (of students); to fire from a job,"newest-3, new-4, old-3","v, o",3060,1,1-char,我每天都刷。,I to brush every day.
炸,炸,zhá,to deep fry; Taiwan pr. [zhà],"newest-5, new-6",v,3064,1,1-char,我每天都炸。,I to deep fry every day.
耍,耍,Shuǎ,surname Shua,"newest-7, new-7, old-6",v,3070,1,1-char,我每天都耍。,I surname Shua every day.
胃,胃,wèi,stomach,"newest-5, new-5, old-5",n,3072,1,1-char,这是胃。,This is a stomach.
置,置,zhì,to install; to place; to put; to buy,"newest-7, new-7",v,3076,1,1-char,我每天都置。,I to install every day.
踩,跴,cǎi,variant of 踩,"newest-6, new-6, old-5",v,3087,1,1-char,我每天都踩。,I variant of 踩 every day.
告,告,gào,to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue,"newest-7, new-7",v,3092,1,1-char,我每天都告。,I to say every day.
厅,廳,tīng,(reception) hall; living room; office; provincial government department,new-5,n,3102,1,1-char,这是厅。,This is a hall.
档,檔,dǎng,"(Tw) variant of 挡, gear",new-6,"g, q, n",3110,1,1-char,我在学习“档”。,I'm learning '档'.
静,靜,jìng,still; calm; quiet; not moving,"newest-5, new-3","a, ad, v, an",3112,1,1-char,这个很静。,This is very still.
肯,肎,kěn,old variant of 肯,"newest-6, new-6","v, b",3114,1,1-char,我每天都肯。,I old variant of 肯 every day.
咱,偺,zán,variant of 咱,new-2,r,3116,1,1-char,我在学习“咱”。,I'm learning '咱'.
摇,搖,Yáo,surname Yao,"newest-5, new-4, old-5",v,3118,1,1-char,我每天都摇。,I surname Yao every day.
宫,宮,Gōng,surname Gong,"newest-6, new-6","g, nr",3150,1,1-char,我在学习“宫”。,I'm learning '宫'.
望,望,wàng,full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards,"newest-6, new-7",v,3165,1,1-char,我每天都望。,I full moon every day.
趟,䠀,tāng,old variant of 趟,"newest-4, new-6, old-4","qv, v",3174,1,1-char,我在学习“趟”。,I'm learning '趟'.
软,軟,ruǎn,soft; flexible,"newest-5, new-5, old-4","a, ad",3178,1,1-char,这个很软。,This is very soft.
惹,惹,rě,to provoke; to irritate; to vex; to stir up; to anger; to attract (troubles); to cause (problems),"newest-7, new-7",v,3183,1,1-char,我每天都惹。,I to provoke every day.
田,田,Tián,surname Tian,"newest-6, new-6","n, nr",3192,1,1-char,这是田。,This is a surname Tian.
丁,丁,Dīng,surname Ding,"newest-7, new-7, old-5","nr, o, g, Mg",3211,1,1-char,这是丁。,This is a surname Ding.
届,屆,jiè,"to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures, years (of graduation)","newest-5, new-5, old-5",q,3211,1,1-char,我在学习“届”。,I'm learning '届'.
挡,擋,dǎng,to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear (e.g. in a car's transmission),"newest-5, new-5, old-5","v, q",3211,1,1-char,我每天都挡。,I to resist every day.
尝,嘗,cháng,to taste; to try (food); to experience; (literary) ever; once,"newest-3, new-5, old-4",v,3212,1,1-char,我每天都尝。,I to taste; to try every day.
认,認,rèn,to recognize; to know; to admit,"newest-5, new-5",v,3212,1,1-char,我每天都认。,I to recognize every day.
聚,聚,jù,to congregate; to assemble; to mass; to gather together; to amass; to polymerize,"newest-4, new-4",v,3213,1,1-char,我每天都聚。,I to congregate every day.
亿,億,yì,100 million,"newest-5, new-2, old-4",m,3215,1,1-char,我有三亿。,I have three 100 million.
核,核,hé,pit; stone; nucleus; nuclear; to examine; to check; to verify,"newest-7, new-7","n, g",3233,1,1-char,这是核。,This is a pit.
鼠,鼠,shǔ,(bound form) rat; mouse,new-5,"g, n",3241,1,1-char,我在学习“鼠”。,I'm learning '鼠'.
拳,拳,quán,fist; boxing,"newest-7, new-7","n, qv",3246,1,1-char,这是拳。,This is a fist.
含,含,hán,to keep in the mouth; to contain,"newest-5, new-4",v,3249,1,1-char,我每天都含。,I to keep in the mouth every day.
创,剏,chuàng,variant of 创,"newest-7, new-7","g, v",3252,1,1-char,我在学习“创”。,I'm learning '创'.
竟,竟,jìng,unexpectedly; actually; to go so far as to; indeed,"newest-7, new-7","d, g",3252,1,1-char,他竟来。,He comes unexpectedly.
致,緻,zhì,(bound form) fine; delicate; exquisite,"newest-7, new-7",v,3258,1,1-char,我每天都致。,I fine; delicate; exquisite every day.
烤,烤,kǎo,to roast; to bake; to broil,"newest-4, new-7","v, vn",3259,1,1-char,我每天都烤。,I to roast every day.
摔,摔,shuāi,to throw down; to fall; to drop and break,"newest-5, new-5, old-5",v,3263,1,1-char,我每天都摔。,I to throw down every day.
章,章,Zhāng,surname Zhang,"newest-6, new-6","q, n",3279,1,1-char,我在学习“章”。,I'm learning '章'.
纯,純,chún,pure; simple; unmixed; genuine,"newest-6, new-4","a, ad",3292,1,1-char,这个很纯。,This is very pure.
撑,撐,chēng,to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support,"newest-6, new-6",v,3301,1,1-char,我每天都撑。,I to support every day.
稳,穩,wěn,settled; steady; stable,"newest-7, new-4","a, ad, v",3303,1,1-char,这个很稳。,This is very settled.
虎,虎,hǔ,tiger,new-5,n,3310,1,1-char,这是虎。,This is a tiger.
绕,繞,rào,to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex,"newest-5, new-5, old-5",v,3312,1,1-char,我每天都绕。,I to wind every day.
幕,幕,mù,curtain or screen; canopy or tent; headquarters of a general; act (of a play),"newest-7, new-7","q, n",3319,1,1-char,我在学习“幕”。,I'm learning '幕'.
喷,噴,pēn,to puff; to spout; to spray; to spurt,"newest-6, new-5",v,3321,1,1-char,我每天都喷。,I to puff every day.
腰,腰,yāo,waist; lower back; pocket; middle; loins,"newest-5, new-4, old-5",n,3323,1,1-char,这是腰。,This is a waist.
云,云,yún,(classical) to say,"newest-4, new-2, old-3","n, g, b",3335,1,1-char,这是云。,This is a to say.
肺,肺,fèi,lung,"newest-6, new-6, old-5",n,3353,1,1-char,这是肺。,This is a lung.
蛮,蠻,mán,barbarian; bullying; very; quite; rough; reckless,new-7,"d, a",3353,1,1-char,他蛮来。,He comes barbarian.
酸,酸,suān,sour; tart; sick at heart; grieved; sore; aching; pedantic; impractical; to make sarcastic remarks about sb; an acid,"newest-4, new-4, old-4","a, n",3361,1,1-char,这个很酸。,This is very sour.
栋,棟,dòng,classifier for houses or buildings; ridgepole (old),"newest-6, new-7, old-6","q, g",3370,1,1-char,我在学习“栋”。,I'm learning '栋'.
罚,罰,fá,to punish; to penalize,"newest-5, new-5",v,3393,1,1-char,我每天都罚。,I to punish every day.
猛,猛,měng,ferocious; fierce; violent; brave; suddenly; abrupt; (slang) awesome,"newest-7, new-6","a, d",3398,1,1-char,这个很猛。,This is very ferocious.
险,險,xiǎn,danger; dangerous; rugged,"newest-6, new-6","a, g",3419,1,1-char,这个很险。,This is very danger.
折,折,shé,"to snap; to break (a stick, a bone etc); (bound form) to sustain a loss (in business)","newest-6, new-4, old-6","v, q",3422,1,1-char,我每天都折。,I to snap every day.
砍,砍,kǎn,to chop; to cut down; to throw sth at sb,"newest-6, new-7, old-5",v,3423,1,1-char,我每天都砍。,I to chop every day.
拆,拆,chāi,to tear open; to tear down; to tear apart; to open,"newest-5, new-5, old-5",v,3439,1,1-char,我每天都拆。,I to tear open every day.
扯,扯,chě,"to pull; to tear; (of cloth, thread etc) to buy; to chat; to gossip; (coll.) (Tw) ridiculous; hokey","newest-7, new-7",v,3440,1,1-char,我每天都扯。,I to pull every day.
